SIC07 description	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Owner-occupiers' imputed rental	2,986	3,005	3,110	3,072	3,098	3,114	3,109	3,254	3,486	3,166	3,063	3,082	3,005	3,045	3,042	3,195	3,205	3,154	3,128	2,986
Real estate activities	3,869	3,858	3,957	3,972	3,948	4,013	4,079	4,323	4,622	4,322	3,982	4,013	4,022	4,114	4,144	4,250	4,279	4,282	4,296	4,218
Legal and accounting activities	257	288	314	378	414	505	484	538	566	629	626	573	569	574	545	556	595	644	649	717
Head offices and management consultancy	40	61	53	64	61	71	79	81	93	103	130	118	100	101	107	124	139	156	173	183
Architectural and engineering activities	225	225	207	212	211	232	236	272	307	348	294	255	235	244	242	262	281	306	327	341
Scientific research and development	47	51	61	68	67	58	65	68	65	63	62	54	54	59	65	72	83	97	107	115
Advertising and market research	58	61	63	64	71	80	84	81	79	78	71	62	61	71	78	75	70	71	69	70
Other professional, scientific and technical activities	132	147	122	128	125	145	143	151	143	133	102	96	101	114	117	99	97	90	90	96
Veterinary activities	21	24	28	33	35	35	45	39	36	36	53	49	45	44	50	45	47	51	60	65
Professional, scientific and technical activities	758	832	835	930	961	1,086	1,101	1,199	1,267	1,371	1,322	1,190	1,147	1,187	1,184	1,222	1,305	1,412	1,475	1,586
Rental and leasing activities	99	96	116	134	142	127	121	112	123	129	137	130	133	109	132	131	145	164	170	179
Employment activities	39	44	57	55	57	58	86	88	99	133	139	104	116	140	188	254	301	311	303	288
Travel agency and tour operator activities	286	262	215	205	189	154	135	126	145	160	143	124	143	127	104	61	46	53	51	46
Security and investigation activities	34	38	39	44	53	59	64	80	82	71	65	61	67	60	73	74	71	70	58	49
Services to buildings and landscape activities	81	95	108	122	139	154	164	209	232	236	213	228	233	232	221	215	216	213	219	224
Office administration and business support activities	64	89	81	90	100	121	136	166	155	164	147	163	175	192	219	256	275	290	250	260
Administrative and support service activities	444	478	514	551	587	596	665	726	781	865	832	787	843	844	934	993	1,055	1,104	1,051	1,046
Public administration and defence	3,714	3,523	3,580	3,617	3,736	3,915	3,819	3,918	3,720	3,489	3,726	3,739	3,390	3,659	3,703	3,394	3,531	3,409	3,330	3,399
Education	2,761	2,911	2,812	2,602	2,729	2,721	2,626	2,812	2,788	2,642	2,635	2,578	2,400	2,389	2,523	2,451	2,410	2,315	2,378	2,297
